[11]+  Stopped                 python bin/trainer.py --config config/ddqn_v0.1.1.toml --save_path models/
(pytorch) nech@LAPTOP-TDE1VV6L:~/projects/python_projects/sea_battle_ai$ python bin/trainer.py --config config/ddqn_v0.1.1.toml --save_path models/
episode: 0 | episode reward: -69.28 | training loss: N/A | ave steps: 1.08 | epsilon: 1.00
episode: 100 | episode reward: -178.33 | training loss: 0.16975 | ave steps: 160.2 | epsilon: 0.74
episode: 200 | episode reward: -85.29 | training loss: 0.11954 | ave steps: 175.13 | epsilon: 0.55
episode: 300 | episode reward: -63.22 | training loss: 0.12019 | ave steps: 176.9 | epsilon: 0.40
episode: 400 | episode reward: -36.35 | training loss: 0.08374 | ave steps: 127.51 | epsilon: 0.30
episode: 500 | episode reward: -4.32 | training loss: 0.07148 | ave steps: 73.94 | epsilon: 0.22
episode: 600 | episode reward: -0.27 | training loss: 0.11163 | ave steps: 60.87 | epsilon: 0.16
episode: 700 | episode reward: -0.22 | training loss: 0.06200 | ave steps: 50.37 | epsilon: 0.12
episode: 800 | episode reward: -3.35 | training loss: 0.07352 | ave steps: 41.58 | epsilon: 0.09
episode: 900 | episode reward: 0.72 | training loss: 0.07039 | ave steps: 40.9 | epsilon: 0.07
episode: 1000 | episode reward: 0.73 | training loss: 0.04901 | ave steps: 38.66 | epsilon: 0.05
episode: 1100 | episode reward: 0.74 | training loss: 0.06232 | ave steps: 38.29 | epsilon: 0.04
episode: 1200 | episode reward: 0.71 | training loss: 0.05640 | ave steps: 38.38 | epsilon: 0.03
episode: 1300 | episode reward: 0.67 | training loss: 0.05031 | ave steps: 36.58 | epsilon: 0.02
episode: 1400 | episode reward: 0.71 | training loss: 0.04903 | ave steps: 36.52 | epsilon: 0.01
episode: 1500 | episode reward: 0.68 | training loss: 0.05476 | ave steps: 35.76 | epsilon: 0.01
episode: 1600 | episode reward: -0.28 | training loss: 0.03339 | ave steps: 34.66 | epsilon: 0.01
episode: 1700 | episode reward: 0.75 | training loss: 0.03851 | ave steps: 35.11 | epsilon: 0.01
episode: 1800 | episode reward: 0.81 | training loss: 0.03066 | ave steps: 34.22 | epsilon: 0.01
