(pytorch) nech@LAPTOP-TDE1VV6L:~/projects/python_projects/sea_battle_ai$ python bin/trainer.py --config config/ddqn_v0.1.1.toml --save_path models/
episode: 0 | episode reward: -184.32 | training loss: N/A | ave steps: 2.27 | epsilon: 1.00
episode: 100 | episode reward: -191.31 | training loss: 0.14470 | ave steps: 163.84 | epsilon: 0.74
episode: 200 | episode reward: -148.27 | training loss: 0.09633 | ave steps: 187.22 | epsilon: 0.55
episode: 300 | episode reward: -85.30 | training loss: 0.10506 | ave steps: 183.57 | epsilon: 0.40
episode: 400 | episode reward: -39.27 | training loss: 0.10573 | ave steps: 146.51 | epsilon: 0.30
episode: 500 | episode reward: -189.33 | training loss: 0.07424 | ave steps: 83.76 | epsilon: 0.22
episode: 600 | episode reward: -41.26 | training loss: 0.07988 | ave steps: 79.15 | epsilon: 0.16
episode: 700 | episode reward: -1.30 | training loss: 0.08633 | ave steps: 46.3 | epsilon: 0.12
episode: 800 | episode reward: -0.36 | training loss: 0.06880 | ave steps: 43.42 | epsilon: 0.09
episode: 900 | episode reward: -1.24 | training loss: 0.06811 | ave steps: 41.54 | epsilon: 0.07
episode: 1000 | episode reward: -0.31 | training loss: 0.05323 | ave steps: 39.37 | epsilon: 0.05
episode: 1100 | episode reward: -0.34 | training loss: 0.07401 | ave steps: 39.88 | epsilon: 0.04
episode: 1200 | episode reward: -0.23 | training loss: 0.06209 | ave steps: 38.21 | epsilon: 0.03
episode: 1300 | episode reward: 0.65 | training loss: 0.06793 | ave steps: 37.57 | epsilon: 0.02
episode: 1400 | episode reward: 0.71 | training loss: 0.07033 | ave steps: 37.28 | epsilon: 0.01
episode: 1500 | episode reward: 0.68 | training loss: 0.06977 | ave steps: 36.37 | epsilon: 0.01
episode: 1600 | episode reward: 0.79 | training loss: 0.05144 | ave steps: 36.2 | epsilon: 0.01
episode: 1700 | episode reward: -1.18 | training loss: 0.04521 | ave steps: 35.45 | epsilon: 0.01
episode: 1800 | episode reward: 0.70 | training loss: 0.04464 | ave steps: 35.57 | epsilon: 0.01
episode: 1900 | episode reward: 0.77 | training loss: 0.05462 | ave steps: 34.8 | epsilon: 0.01
episode: 2000 | episode reward: 0.70 | training loss: 0.03868 | ave steps: 33.84 | epsilon: 0.01
episode: 2100 | episode reward: 0.86 | training loss: 0.02773 | ave steps: 34.14 | epsilon: 0.01
episode: 2200 | episode reward: 0.82 | training loss: 0.03532 | ave steps: 34.13 | epsilon: 0.01
episode: 2300 | episode reward: 0.67 | training loss: 0.03247 | ave steps: 34.11 | epsilon: 0.01
episode: 2400 | episode reward: 0.78 | training loss: 0.03284 | ave steps: 32.9 | epsilon: 0.01
episode: 2500 | episode reward: -0.26 | training loss: 0.02891 | ave steps: 32.26 | epsilon: 0.01
episode: 2600 | episode reward: 0.81 | training loss: 0.02044 | ave steps: 32.96 | epsilon: 0.01
episode: 2700 | episode reward: 0.71 | training loss: 0.01937 | ave steps: 32.59 | epsilon: 0.01
episode: 2800 | episode reward: 0.84 | training loss: 0.02262 | ave steps: 32.82 | epsilon: 0.01
episode: 2900 | episode reward: 0.79 | training loss: 0.01866 | ave steps: 31.0 | epsilon: 0.01
episode: 3000 | episode reward: 0.76 | training loss: 0.02490 | ave steps: 32.78 | epsilon: 0.01
episode: 3100 | episode reward: -0.15 | training loss: 0.01423 | ave steps: 30.86 | epsilon: 0.01
episode: 3200 | episode reward: 0.67 | training loss: 0.01419 | ave steps: 31.63 | epsilon: 0.01
episode: 3300 | episode reward: 0.79 | training loss: 0.01277 | ave steps: 29.25 | epsilon: 0.01
episode: 3400 | episode reward: 0.79 | training loss: 0.01581 | ave steps: 29.82 | epsilon: 0.01
episode: 3500 | episode reward: 0.87 | training loss: 0.01507 | ave steps: 30.5 | epsilon: 0.01
episode: 3600 | episode reward: 0.78 | training loss: 0.01431 | ave steps: 30.53 | epsilon: 0.01
episode: 3700 | episode reward: 0.82 | training loss: 0.01414 | ave steps: 29.39 | epsilon: 0.01
episode: 3800 | episode reward: 0.79 | training loss: 0.01157 | ave steps: 30.49 | epsilon: 0.01
episode: 3900 | episode reward: 0.81 | training loss: 0.01604 | ave steps: 29.99 | epsilon: 0.01
episode: 4000 | episode reward: 0.87 | training loss: 0.01960 | ave steps: 29.92 | epsilon: 0.01
episode: 4100 | episode reward: 0.84 | training loss: 0.00974 | ave steps: 29.39 | epsilon: 0.01
episode: 4200 | episode reward: 0.80 | training loss: 0.01022 | ave steps: 30.31 | epsilon: 0.01
episode: 4300 | episode reward: -0.22 | training loss: 0.00950 | ave steps: 29.21 | epsilon: 0.01
episode: 4400 | episode reward: 0.73 | training loss: 0.01126 | ave steps: 30.58 | epsilon: 0.01
episode: 4500 | episode reward: 0.80 | training loss: 0.01149 | ave steps: 28.98 | epsilon: 0.01
episode: 4600 | episode reward: 0.80 | training loss: 0.00984 | ave steps: 30.71 | epsilon: 0.01
episode: 4700 | episode reward: 0.84 | training loss: 0.01224 | ave steps: 29.86 | epsilon: 0.01
episode: 4800 | episode reward: 0.81 | training loss: 0.01071 | ave steps: 27.73 | epsilon: 0.01
episode: 4900 | episode reward: -0.30 | training loss: 0.01011 | ave steps: 29.14 | epsilon: 0.01
episode: 5000 | episode reward: 0.74 | training loss: 0.01081 | ave steps: 28.36 | epsilon: 0.01
episode: 5100 | episode reward: 0.87 | training loss: 0.00829 | ave steps: 30.02 | epsilon: 0.01
episode: 5200 | episode reward: 0.90 | training loss: 0.00796 | ave steps: 29.16 | epsilon: 0.01
episode: 5300 | episode reward: 0.81 | training loss: 0.00858 | ave steps: 28.98 | epsilon: 0.01
episode: 5400 | episode reward: 0.82 | training loss: 0.01005 | ave steps: 28.56 | epsilon: 0.01
episode: 5500 | episode reward: 0.85 | training loss: 0.00817 | ave steps: 29.04 | epsilon: 0.01
episode: 5600 | episode reward: 0.84 | training loss: 0.00821 | ave steps: 28.9 | epsilon: 0.01
episode: 5700 | episode reward: 0.73 | training loss: 0.00888 | ave steps: 29.5 | epsilon: 0.01
episode: 5800 | episode reward: 0.66 | training loss: 0.00830 | ave steps: 29.1 | epsilon: 0.01
episode: 5900 | episode reward: 0.74 | training loss: 0.01022 | ave steps: 28.34 | epsilon: 0.01
episode: 6000 | episode reward: 0.89 | training loss: 0.00852 | ave steps: 28.04 | epsilon: 0.01
episode: 6100 | episode reward: 0.84 | training loss: 0.00861 | ave steps: 28.69 | epsilon: 0.01
episode: 6200 | episode reward: 0.84 | training loss: 0.00755 | ave steps: 29.81 | epsilon: 0.01
episode: 6300 | episode reward: 0.76 | training loss: 0.00843 | ave steps: 28.35 | epsilon: 0.01
episode: 6400 | episode reward: 0.72 | training loss: 0.00761 | ave steps: 28.23 | epsilon: 0.01
episode: 6500 | episode reward: 0.83 | training loss: 0.00630 | ave steps: 27.68 | epsilon: 0.01
episode: 6600 | episode reward: 0.84 | training loss: 0.00742 | ave steps: 27.98 | epsilon: 0.01
episode: 6700 | episode reward: -0.19 | training loss: 0.00650 | ave steps: 30.77 | epsilon: 0.01
episode: 6800 | episode reward: 0.80 | training loss: 0.00893 | ave steps: 28.2 | epsilon: 0.01
episode: 6900 | episode reward: 0.82 | training loss: 0.00722 | ave steps: 27.89 | epsilon: 0.01
episode: 7000 | episode reward: -0.09 | training loss: 0.00775 | ave steps: 28.63 | epsilon: 0.01
episode: 7100 | episode reward: 0.82 | training loss: 0.00860 | ave steps: 27.8 | epsilon: 0.01
episode: 7200 | episode reward: 0.84 | training loss: 0.00733 | ave steps: 27.88 | epsilon: 0.01
episode: 7300 | episode reward: 0.88 | training loss: 0.00770 | ave steps: 27.27 | epsilon: 0.01
episode: 7400 | episode reward: -0.28 | training loss: 0.00772 | ave steps: 28.85 | epsilon: 0.01
episode: 7500 | episode reward: 0.82 | training loss: 0.00915 | ave steps: 28.16 | epsilon: 0.01
episode: 7600 | episode reward: 0.88 | training loss: 0.00849 | ave steps: 27.59 | epsilon: 0.01
episode: 7700 | episode reward: 0.82 | training loss: 0.00768 | ave steps: 27.48 | epsilon: 0.01
episode: 7800 | episode reward: 0.85 | training loss: 0.00670 | ave steps: 27.43 | epsilon: 0.01
episode: 7900 | episode reward: 0.81 | training loss: 0.00670 | ave steps: 27.4 | epsilon: 0.01
episode: 8000 | episode reward: 0.84 | training loss: 0.00740 | ave steps: 27.26 | epsilon: 0.01
episode: 8100 | episode reward: 0.92 | training loss: 0.00644 | ave steps: 27.04 | epsilon: 0.01
episode: 8200 | episode reward: 0.83 | training loss: 0.00682 | ave steps: 27.14 | epsilon: 0.01
episode: 8300 | episode reward: 0.75 | training loss: 0.00541 | ave steps: 27.18 | epsilon: 0.01
episode: 8400 | episode reward: 0.85 | training loss: 0.00827 | ave steps: 27.5 | epsilon: 0.01
episode: 8500 | episode reward: 0.81 | training loss: 0.00839 | ave steps: 27.66 | epsilon: 0.01
episode: 8600 | episode reward: 0.72 | training loss: 0.00602 | ave steps: 27.25 | epsilon: 0.01
episode: 8700 | episode reward: -0.15 | training loss: 0.00626 | ave steps: 26.03 | epsilon: 0.01
episode: 8800 | episode reward: 0.82 | training loss: 0.00696 | ave steps: 26.44 | epsilon: 0.01
episode: 8900 | episode reward: 0.73 | training loss: 0.00588 | ave steps: 28.25 | epsilon: 0.01
episode: 9000 | episode reward: 0.93 | training loss: 0.00551 | ave steps: 27.1 | epsilon: 0.01
episode: 9100 | episode reward: 0.72 | training loss: 0.00708 | ave steps: 26.37 | epsilon: 0.01
episode: 9200 | episode reward: -0.07 | training loss: 0.00640 | ave steps: 25.34 | epsilon: 0.01
episode: 9300 | episode reward: 0.85 | training loss: 0.00650 | ave steps: 25.04 | epsilon: 0.01
episode: 9400 | episode reward: 0.87 | training loss: 0.00647 | ave steps: 26.73 | epsilon: 0.01
episode: 9500 | episode reward: 0.90 | training loss: 0.00727 | ave steps: 25.01 | epsilon: 0.01
episode: 9600 | episode reward: 0.87 | training loss: 0.00634 | ave steps: 25.71 | epsilon: 0.01
episode: 9700 | episode reward: 0.87 | training loss: 0.00675 | ave steps: 28.43 | epsilon: 0.01
episode: 9800 | episode reward: 0.86 | training loss: 0.00675 | ave steps: 25.89 | epsilon: 0.01
episode: 9900 | episode reward: 0.77 | training loss: 0.00608 | ave steps: 26.89 | epsilon: 0.01
episode: 10000 | episode reward: 0.84 | training loss: 0.00730 | ave steps: 26.12 | epsilon: 0.01
